N_unmapped	1043882	1043882	1043882
N_multimapping	419208	419208	419208
N_noFeature	265001	3747684	3802973
N_ambiguous	446309	41809	41531
YDL246C	3	1	2
YDL243C	174	85	89
YDR387C	501	247	254
YDL094C	7	43	53
YDR438W	214	109	105
YDR523C	44	21	23
YDR542W	9	2	7
YDR492W	468	280	294
YDR018C	67	37	30
YDL189W	790	409	382
YDR508C	3256	1811	1905
YDR462W	484	259	225
YDR175C	590	299	292
YDR186C	1418	700	719
YDR150W	907	473	464
YDR243C	174	83	105
YDL182W	5006	2449	2558
YDR362C	547	279	268
YDR232W	842	420	422
YDR158W	8154	4028	4129
YDR439W	207	110	97
YDL206W	448	219	229
YDR125C	194	106	99
YDR338C	281	158	123
YDR526C	0	92	95
YDR533C	478	214	264
YDR272W	1255	648	607
YDR197W	323	151	173
YDR512C	517	497	458
YDR489W	181	115	108
YDR299W	418	225	194
YDL015C	2371	1183	1189
YDR304C	2105	1115	992
YDR271C	0	75	79
YDL181W	429	229	200
YDR367W	314	169	192
YDR085C	261	131	130
YDL097C	2330	1149	1181
YDL139C	139	58	81
YDR200C	400	256	280
YDR191W	211	109	103
YDR451C	618	292	327
YDR469W	277	141	144
YDR470C	508	246	270
YDR105C	883	484	399
YDR483W	3339	1650	1689
YDL123W	334	170	164
YDL199C	303	137	166
YDR505C	680	350	330
YDL045W-A	516	247	269
YDL045C	384	183	201
YDR361C	551	264	288
YDR406W-A	2	5	4
YDR199W	3	72	67
YDR266C	659	358	303
YDL242W	33	15	18
YDR002W	3538	1793	1745
YDR214W	1258	636	625
YDR130C	276	137	139
YDL176W	304	163	141
YDR358W	857	449	409
YDR544C	1	0	1
YDR460W	462	234	228
snR84	73	38	44
YDR034W-B	166	89	77
YDL028C	506	250	257
YDR061W	501	253	248
YDR060W	707	351	356
YDR169C-A	16	9	7
YDR363W	267	141	127
YDR422C	542	261	283
YDR119W	1195	580	616
tR(ACG)D	4	3	1
YDR097C	524	268	256
YDR042C	66	40	26
YDL160C	801	398	404
YDR425W	278	186	191
snR13	10	1	9
YDR228C	634	298	336
YDR319C	307	166	167
YDR471W	5011	2598	2415
YDR089W	835	414	424
tD(GUC)D	2	1	1
YDR275W	333	174	160
YDR043C	693	343	350
YDR129C	3254	1631	1625
YDR136C	1	12	15
YDL066W	1775	873	910
YDR302W	420	219	201
YDR239C	296	144	152
YDR539W	367	205	163
tK(CUU)D1	1	1	0
YDL125C	2152	1035	1118
YDR493W	399	187	212
YDR101C	384	190	198
YDR182W-A	13	3	10
YDR212W	1425	739	686
YDR476C	492	245	247
YDL131W	2848	1453	1395
YDR458C	560	276	284
YDR081C	587	299	291
YDL071C	16	21	39
YDR113C	445	243	202
YDR168W	949	507	443
YDR520C	262	156	151
YDR307W	516	284	237
YDR265W	414	207	210
YDL076C	733	381	352
YDL006W	384	203	182
YDL086W	252	595	536
YDR238C	1903	951	953
YDR077W	21173	10876	10306
YDR381C-A	739	369	370
YDL023C	0	826	794
YDL083C	7470	3716	3757
YDR036C	596	309	287
YDR057W	396	193	204
YDR513W	1317	909	843
YDR487C	2512	1236	1276
YDR066C	101	58	53
YDR352W	413	220	194
YDR278C	1	0	1
YDR079C-A	391	186	208
YDR204W	528	282	246
YDL247W-A	14	9	5
YDL024C	80	39	42
tA(AGC)D	0	0	0
YDR109C	424	228	196
YDR466W	576	382	371
YDR427W	1317	648	695
YDL044C	227	118	109
YDL079C	267	122	145
YDR193W	0	58	55
YDR305C	316	162	154
YDR377W	865	404	463
YDR219C	591	300	291
YDR416W	329	156	173
YDR365C	810	417	393
YDL233W	244	122	122
YDR287W	349	166	183
YDR448W	383	183	202
YDR180W	145	82	67
tF(GAA)D	2	2	0
tT(AGU)D	3	2	1
YDR294C	1004	477	527
YDR198C	168	79	90
YDL163W	0	39	49
YDL119C	189	145	160
YDR501W	579	290	289
YDL214C	129	58	72
YDR264C	2054	1005	1050
YDR343C	20	10	10
YDR373W	803	419	384
YDR354W	1193	875	876
YDR246W	394	201	193
YDR428C	255	138	143
YDR157W	4	3	3
YDR316W	325	168	157
YDL142C	349	174	177
YDR253C	204	114	103
YDL112W	495	247	249
YDR545W	0	1	1
YDL187C	1	5	6
YDL138W	437	229	208
YDR528W	592	262	330
YDR284C	1079	540	542
YDR050C	38755	19180	19589
YDL010W	108	316	311
YDL065C	552	259	301
YDR349C	912	451	461
YDL098C	144	77	69
YDL234C	712	358	354
YDR118W	233	104	130
YDR118W-A	2	2	0
YDR159W	529	273	257
YDR111C	640	388	405
YDR128W	440	228	213
YDL034W	9	57	63
YDR065W	120	69	61
YDL004W	1158	577	581
YDR024W	10	7	3
YDL171C	2137	1078	1061
YDR083W	214	96	123
YDR457W	949	490	460
YDR014W	98	55	44
YDR206W	823	427	397
YDR478W	58	37	41
YDR169C	486	259	229
YDR115W	400	353	341
YDL159W-A	6	5	2
YDL232W	543	254	290
YDL240C-A	4	3	1
tE(CUC)D	0	0	0
YDL152W	0	22	23
YDR432W	932	482	451
YDL022C-A	3	3	0
YDL114W-A	0	57	50
YDR410C	454	227	227
YDR464C-A	0	42	46
YDL072C	2066	1009	1058
YDR053W	4	84	89
YDL012C	525	272	255
YDR482C	472	249	223
YDL070W	1231	645	641
YDR064W	10857	5516	5347
YDL135C	733	365	368
YDL077C	369	187	184
YDR354C-A	0	274	284
YDL033C	130	79	88
YDL031W	679	344	336
YDR398W	598	328	271
YDR326C	886	432	455
YDL052C	1434	711	725
YDR536W	118	59	62
YDR397C	8	308	276
YDL116W	621	306	316
YDR028C	1621	833	794
YDL007W	2816	1450	1367
YDR236C	442	226	218
YDR011W	8032	4072	3966
YDR155C	6328	3213	3119
YDR414C	441	189	252
YDR026C	486	265	222
YDL073W	703	351	355
tY(GUA)D	8	5	3
YDL115C	342	227	224
YDL145C	2732	1361	1374
YDR203W	1	75	56
YDL104C	117	65	63
YDL149W	254	121	137
YDR231C	231	292	289
YDR045C	394	187	207
YDL075W	8884	4603	4282
YDR415C	321	146	175
YDR339C	440	228	212
YDL213C	670	341	329
YDR096W	820	400	422
YDL019C	1527	721	807
YDL022W	4742	3223	3140
YDR413C	0	173	182
YDR391C	697	341	356
YDR091C	1094	551	543
YDR240C	251	129	127
YDL244W	12	6	7
YDR179C	154	74	80
YDL165W	459	231	228
YDL140C	1920	953	969
YDR120C	733	355	378
YDR003W	584	298	286
YDR499W	304	162	148
YDR166C	494	246	252
YDL092W	793	400	394
YDL041W	0	29	30
YDL241W	179	92	87
YDL082W	4984	2471	2516
YDR277C	436	222	215
YDR291W	407	208	201
YDR475C	540	283	257
YDR244W	583	328	257
YDR407C	710	370	348
YDR382W	8211	4129	4130
YDR102C	25	11	14
YDL188C	928	446	482
YDR405W	805	382	423
YDR443C	266	169	187
YDR059C	511	265	247
YDR144C	777	400	377
YDL157C	474	238	236
YDL058W	710	385	325
YDL096C	0	128	128
YDL155W	641	328	313
YDR147W	544	285	259
YDL191W	5057	2624	2437
YDL128W	1468	731	737
YDR310C	1138	585	553
YDL160C-A	78	32	47
YDR127W	4327	2229	2100
YDR497C	3347	1693	1657
YDL162C	1	16	2
tS(AGA)D3	0	0	0
YDR201W	269	137	141
YDR163W	336	191	154
YDL146W	488	255	233
YDR363W-A	1108	570	541
YDL221W	34	42	32
YDL089W	458	246	212
YDR385W	5001	2565	2440
YDR331W	436	211	225
YDR196C	569	296	288
YDR116C	518	254	264
YDR001C	3063	1577	1487
YDL230W	466	241	226
YDR160W	450	240	211
YDR123C	220	113	108
YDR322W	549	266	284
YDR040C	4437	2313	2124
YDR025W	7329	3741	3590
YDR046C	2415	1263	1155
YDL057W	153	71	82
YDL248W	194	109	86
YDR008C	8	251	270
YDR029W	99	58	46
YDR485C	645	319	328
YDR408C	787	386	401
YDR038C	103	56	47
YDL204W	1634	821	815
YDR019C	1063	531	532
YDR477W	1418	746	672
YDR254W	348	189	202
YDR514C	227	121	109
YDR296W	623	314	310
YDL216C	205	91	114
YDL100C	1905	944	962
YDL068W	6	42	41
YDL026W	0	71	48
YDL124W	3657	1921	1739
YDL227C	946	469	478
YDL111C	422	215	209
YDR324C	521	261	260
YDL170W	1435	756	680
YDR317W	118	61	57
YDR436W	532	255	277
YDR208W	833	463	372
YDR386W	242	139	103
YDR504C	136	65	71
YDL220C	149	87	101
YDR396W	6	271	310
YDR258C	4728	2392	2338
YDR176W	820	446	376
YDL099W	1088	576	513
YDR380W	419	233	187
YDL110C	1148	586	562
YDR148C	1412	669	744
YDL201W	330	189	147
YDL107W	195	99	96
YDR515W	266	129	137
YDR133C	20379	10095	10290
YDR378C	1007	500	508
YDR473C	306	153	153
YDR403W	93	50	43
YDR268W	219	110	110
YDR409W	395	211	185
YDR173C	304	154	150
YDR187C	13	303	290
YDR389W	615	326	290
YDR417C	0	3339	3495
YDR165W	404	201	206
YDL113C	689	334	356
YDR426C	0	48	51
YDR521W	0	24	21
YDR086C	2166	1063	1104
YDL021W	595	306	289
YDR023W	3626	1855	1773
YDR394W	1724	894	830
YDR320C-A	368	249	245
YDR003W-A	124	68	57
YDR183W	169	77	94
YDR245W	1249	629	620
YDR431W	0	11	17
YDL154W	161	78	85
YDL184C	14150	7134	7017
YDR153C	677	335	343
YDR014W-A	5	5	9
YDR434W	600	288	314
YDL002C	463	232	231
YDR225W	3992	2005	1989
YDR418W	1514	4345	4003
YDR224C	6269	3103	3168
YDR502C	741	344	397
YDR447C	7420	3716	3714
YDL039C	66	35	31
YDL225W	780	411	371
YDR259C	95	46	49
YDR495C	412	194	222
YDL151C	1	100	127
YDR357C	351	180	174
YDR370C	406	204	202
YDR298C	1188	602	587
YDR276C	3396	1678	1720
YDL185C-A	0	156	127
YDR545C-A	0	0	1
tM(CAU)D	0	0	1
YDL247W	10	5	6
YDR406W	4398	2237	2162
YDR273W	274	145	129
YDR269C	0	55	50
YDR453C	157	75	83
YDR383C	280	165	162
YDR375C	622	297	340
YDL161W	967	501	483
YDL051W	384	464	387
YDR084C	639	319	325
YDL056W	607	313	297
YDR344C	48	27	21
YDR320C	327	181	146
YDR221W	442	229	214
tI(AAU)D	1	0	1
YDL032W	1	21	17
YDR456W	864	490	483
YDL036C	190	90	100
tL(CAA)D	0	0	0
YDL217C	371	190	181
snR63	90	45	45
YDR334W	870	465	408
YDL049C	70	37	33
YDL164C	624	381	332
YDR384C	610	292	318
YDR149C	0	18	12
YDR093W	932	500	433
YDR071C	1817	916	902
YDL143W	2052	1053	1002
YDR032C	3261	1597	1667
tR(UCU)D	0	0	0
YDR063W	957	494	465
YDL166C	394	203	191
YDR004W	622	333	290
YDR151C	681	335	346
YDR037W	6510	3297	3219
YDL175C	327	164	163
YDR286C	193	103	90
YDR172W	2164	1084	1081
YDL174C	2340	1165	1176
YDR080W	455	240	215
YDR503C	338	151	188
YDR069C	525	248	277
YDR047W	1734	838	896
YDR215C	19	12	10
YDR267C	432	210	222
YDR142C	284	152	132
YDL212W	1974	994	982
YDR249C	168	82	86
YDL209C	278	145	133
YDR044W	1085	539	546
tK(UUU)D	44	19	25
YDR311W	502	245	257
YDL159C-B	0	43	37
YDR222W	329	187	142
YDR510C-A	17	204	283
YDR401W	0	14	10
YDR207C	693	342	352
YDL005C	673	346	327
YDR295C	333	178	158
YDR543C	0	0	0
YDL208W	1242	598	644
YDR135C	1583	788	799
YDL114W	1	0	2
YDR247W	328	188	140
YDL197C	715	373	345
YDR229W	629	331	298
YDR095C	3	9	11
YDR027C	835	402	434
YDL106C	547	268	279
YDR404C	809	390	419
YDR256C	242	129	114
YDR518W	500	236	265
YDR055W	3583	1762	1827
YDL087C	163	81	84
YDR177W	998	509	489
YDL014W	2303	1131	1173
YDR289C	318	183	201
YDL159W	241	200	214
YDR532C	251	123	140
YDR137W	480	243	263
YDL153C	354	200	200
YDR393W	448	224	224
YDR506C	151	72	79
YDL219W	574	299	276
YDL090C	312	154	159
YDR033W	4906	2386	2520
YDR035W	6199	3124	3077
YDR332W	289	145	146
YDR510W	1258	912	815
YDL055C	15380	7696	7688
YDR480W	351	178	173
YDL103C	734	349	385
YDL085C-A	897	440	459
YDR350C	570	258	312
YDR342C	1288	643	645
YDR087C	342	191	151
YDL236W	1320	693	627
YDR012W	4261	2208	2056
YDL121C	446	213	238
YDR525W-A	255	122	133
tG(GCC)D2	14	7	7
YDL190C	875	455	423
YDL047W	1054	524	530
YDR099W	3357	1633	1725
YDR092W	1086	575	511
YDR164C	465	228	247
YDR058C	358	177	182
YDL020C	1302	673	629
YDL025C	917	546	587
YDR374C	9	3	6
YDL207W	717	352	365
YDR270W	707	492	474
YDR152W	636	331	305
YDL148C	535	266	270
tI(UAU)D	5	3	2
YDR379C-A	190	106	110
YDR218C	11	5	7
YDL018C	353	181	174
YDR507C	960	492	469
YDL003W	983	494	490
YDR524C-B	21820	13317	14697
YDR371W	375	207	227
YDR359C	433	244	240
YDL180W	557	298	259
YDL133W	613	309	304
YDR335W	1158	589	569
YDR351W	567	293	274
YDL150W	239	249	216
YDL177C	218	122	96
YDR171W	2265	1185	1080
YDR364C	283	128	155
YDR309C	887	446	442
YDL239C	343	171	172
YDL228C	2	2035	2156
YDL156W	213	118	96
YDL016C	117	70	85
tX(XXX)D	0	1	1
YDR524W-C	7055	6884	6353
YDL085W	170	87	84
YDR300C	609	316	293
YDL168W	990	502	489
YDR360W	10	26	35
YDR195W	521	261	276
YDR321W	842	425	417
YDR237W	579	289	290
YDL127W	348	171	177
YDR107C	493	239	254
YDR472W	322	160	162
YDL030W	226	122	104
YDR468C	499	254	245
YDL084W	5762	2954	2810
YDL203C	500	267	235
YDL025W-A	0	103	113
YDR285W	152	75	77
YDL229W	3517	3936	3771
YDR329C	629	322	307
YDR034C	961	472	489
YDR009W	134	66	72
tS(AGA)D2	0	0	0
YDR488C	281	144	138
YDR103W	567	300	281
YDR336W	182	84	99
YDL101C	540	293	250
YDR162C	384	198	190
YDR312W	438	223	215
YDL061C	5131	2592	2539
YDL040C	1250	628	624
YDR145W	1040	519	522
YDR124W	204	110	105
YDL231C	915	465	452
YDR190C	1404	652	753
YDL064W	644	308	337
YDR463W	1034	523	511
YDR491C	30	67	69
YDR449C	252	112	141
YDL035C	970	538	542
YDR074W	8068	4055	4015
YDR525W	3	6	4
YDR257C	630	310	320
YDR402C	17	21	24
YDR450W	8990	4611	4382
YDR376W	399	212	187
YDR161W	521	262	263
YDR090C	463	245	218
YDR189W	825	413	416
YDR524C	441	225	216
YDL237W	948	483	468
YDR188W	2085	1347	1320
YDL133C-A	10655	5302	5355
YDR531W	945	503	454
tG(GCC)D1	0	0	0
YDR226W	5445	2774	2672
YDL054C	604	274	331
YDL205C	724	356	368
YDR537C	11	78	80
YDR496C	524	274	250
YDR313C	281	125	156
YDL108W	288	146	142
tV(CAC)D	2	1	1
YDR340W	3	4	4
YDL147W	1977	1024	953
YDL081C	6738	3390	3353
YDR283C	673	344	331
YDR261C	751	381	370
YDL211C	183	96	88
YDL074C	961	496	465
YDL091C	460	253	207
YDR346C	1306	658	648
YDR072C	1795	887	908
YDR242W	307	176	145
YDR323C	200	114	86
YDR486C	546	266	280
YDR420W	638	325	313
YDL122W	936	465	476
YDR390C	749	381	369
YDR481C	1636	835	801
YDR318W	286	176	136
YDL105W	129	76	64
YDL141W	517	264	253
YDR400W	356	179	177
YDR522C	54	25	29
YDL173W	370	600	558
YDR279W	277	129	148
YDR281C	243	116	127
YDR213W	353	167	187
YDR179W-A	214	110	104
YDR330W	632	313	320
YDR106W	29	13	16
YDL178W	820	410	410
YDR484W	353	176	177
YDR308C	306	172	138
YDL192W	4787	2458	2330
YDL202W	496	246	250
YDR146C	1062	569	493
YDR241W	120	62	63
YDL158C	23	49	62
YDL185W	6424	3361	3349
YDR251W	1391	713	683
tL(UAA)D	2	0	2
YDR192C	206	164	157
YDR368W	1415	737	680
YDR494W	680	328	356
YDR399W	2498	1268	1231
YDR070C	579	285	295
YDR138W	622	330	293
YDR031W	531	280	252
YDR255C	296	163	177
YDL060W	517	260	258
YDR048C	1	29	30
YDR067C	304	153	152
YDR126W	256	135	122
YDR315C	233	114	119
YDL126C	5483	2786	2702
YDR262W	775	408	368
tQ(UUG)D3	1	1	0
YDR345C	2702	1358	1346
YDR079W	355	180	180
YDR433W	12	5	7
YDL144C	650	331	319
YDR306C	590	286	306
YDR292C	939	475	466
YDL009C	82	157	189
YDR290W	0	38	28
YDR282C	189	100	91
YDR170C	1412	738	677
YDR174W	2395	1233	1165
YDL218W	97	53	44
YDL062W	1	17	23
YDL048C	182	93	93
YDR500C	5114	2508	2613
YDR112W	55	108	100
YDR538W	40	94	93
YDL011C	0	128	118
YDR355C	0	9	17
YDR301W	494	258	236
YDR412W	22	192	185
YDR530C	428	223	205
YDR227W	449	243	207
YDR041W	2429	1228	1201
YDR015C	0	5	2
YDL008W	189	103	86
YDR234W	1418	713	705
YDR511W	319	157	168
YDR519W	568	283	286
YDL086C-A	0	420	460
YDR250C	37	24	18
YDR465C	350	183	169
YDL001W	309	167	142
YDR454C	1705	860	846
YDR013W	296	144	152
YDR076W	222	118	105
YDL095W	2094	1208	1195
YDL007C-A	0	1	0
YDL130W	8896	4502	4395
YDR100W	984	500	488
YDR479C	692	359	353
tS(AGA)D1	0	0	0
YDL117W	744	383	362
YDR140W	221	113	121
YDR381W	5267	2677	2594
tQ(UUG)D2	0	0	0
YDR327W	95	657	698
YDR062W	1728	894	835
YDR143C	519	280	240
YDL172C	0	380	408
YDL053C	778	405	374
YDR223W	196	107	90
YDL037C	18	7	11
YDL167C	423	229	195
YDR246W-A	16	10	6
